,names
269,"Samuel  Eduardo 
MATURANA  VALDERRAMA"
270,Víctor  Segundo  BENITEZ  ORTEGA
271,Nelson Mario TORRES GONZALEZ
272,Víctor Moisés CASTILLO ALEGRIA
273,José
274,Sergio ALEGRIA HIGUERA
275,Francisco  MIRANDA  MIRANDA
276,Luis Alberto MARTINEZ HORMAZABAL
277,Carlos Helen SALAZAR CONTRERAS
278,"Julio  César  FERNANDEZ 
FERNANDEZ"
279,Raúl Fernando SANTIS URRIOLA
280,Joaquín Segundo MONTECINOS ROJAS
281,Eduardo Elías CERDA ANGEL
282,Oscar Roberto LUCERO ALDANA
283,"Francisco  Arnaldo  ZUÑIGA 
AGUILERA"
284,"Waldemar  Segundo  MONSALVEZ 
TOLEDO"
285,Teobaldo  René  SALAZAR  LEAL
286,Floridor de Jesús FLORES CAROCA
287,Carlos Patricio FARIÑA OYARCE
288,Héctor Eugenio ARAYA GARRIDO
289,Víctor  Iván  VIDAL  TEJEDA
290,Alfredo Andrés MORENO MENA
291,Luis Miguel RODRIGUEZ ARANCIBIA
292,Luis Alberto VERDEJO CONTRERAS
293,Elizabeth LEONIDAS CONTRERAS
294,Jaime Max BASTIAS MARTINEZ
295,Luis SUAZO SUAZO
296,Domingo de la Cruz MORALES DIAZ
297,Luis Esteban TORO VELOSO
298,Segundo Hernán Antonio MUÑOZ ROJAS
299,Segundo del Carmen LIRA BRAVO
300,Manuel Segundo TAQUIAS VERGARA
301,Sergio Manuel CASTRO SAAVEDRA
302,Luis VERGARA GONZALEZ
303,Hernán PEÑA CATALAN
304,"Domingo  Manuel  MEDINA 
RIQUELME"
305,Wannio  José  DE  MATTOS  SANTOS
306,Mario Armando GHO ALARCON
307,Juan Angel GALLEGOS
308,Luis Enrique PEREZ BALBONTIN
309,José Daniel HERNANDEZ ORREGO
310,Juan  Carlos  AMPUERO  GOMEZ
311,Jaime JIMENEZ JIMENEZ
312,Pedro  Hugo  PEREZ  GODOY
313,Carlos  Rodolfo  ADLER  ZULUETA
314,Beatriz  Elena  DIAZ  AGUERO
315,Víctor Alejandro GARRETON ROMERO
316,Ricardo  Cristián  MONTECINOS  SLAUGHTER
317,Julio Andrés SAA PIZARRO
318,Jorge  Miguel  SALAS  PARADISI
319,Néstor  GONZALEZ  RAMOS
320,José Miguel VALLE PEREZ
321,José Miguel MUÑOZ BIZAMA
322,Jorge Cristián CLAVERIA INOSTROZA
323,"Ramón  Edmundo  REBOLLEDO 
ESPINOZA"
324,Santiago  Rubén  ROJAS  ARANCIBIA
325,"Pedro  Enrique  TRONCOSO 
SAAVEDRA"
326,Jorge  Antonio  ARANGUIZ GONZALEZ
327,Hernán CARDENAS SOTO
328,Sergio  Orlando  CANDIA  SALINAS
329,Carlos Octavio CHAMORRO SALINAS
330,Jaime  Alberto  VEAS  SALINAS
331,Miguel Angel PONCE CONTRERAS
332,Mario SALINAS VERA
333,José Tomás BELTRAN BIZAMA
334,Eduardo Antonio FONSECA CASTRO
335,Hernán  Anselmo  CORTES  VELASQUEZ
336,Pedro GUEVARA MUÑOZ
337,Julio  Ismael  CAVADA  SOTO
338,Luis René LOBOS GUTIERREZ
339,Carlos Germán MALDONADO TORRES
340,Jaime  Antonio RIVERA AGUILAR
341,"José  Enrique 
ESPINOZA SANTIC"
342,Luis Antonio ABARCA SANCHEZ
343,"Pedro  Antonio 
FERNANDEZ BURGOS"
344,Juan de Dios MARTINEZ PEREZ
345,Pedro David OTAROLA SEPULVEDA
346,Guillermo IBARRA FUENTES
347,Juan Fernando MILLAS VELIZ
348,Miguel  Andrés  HEREDIA VASQUEZ
349,Juan Domingo ARIAS QUEZADA
350,Mario  Francisco  ZAMORANO  CORTES
351,Juan Carlos MERINO FIGUEROA
352,Juan Jonás DIAZ LOPEZ
353,Que  Phung  TRAN  HUYNH
354,Jacob Daniel AGUILAR GARRIDO
355,Blas Javier VICENCIO ARRIAGADA
356,Sergio  Hernán  RAMIREZ  PEÑA
357,Gerardo  GODOY  BELLO
358,"Juan  René 
Alberto  VASQUEZ  ORTIZ"
359,Waldo  Antonio  BELLO  BELLO
360,Bautista  VAN  SCHOWEN  VASEY
361,Patricio MUNITA CASTILLO
362,Jorge Pedro PACHECO DURAN
363,Denrio  Max  ALVAREZ  OLIVARES
364,"José  Braulio  ASTORGA 
NANJARI"
365,Nelsa  Zulema  GADEA  GALAN
366,Carlos Alberto CUEVAS MOYA
367,Pedro  ROJAS  CASTRO
368,Luis  Emilio  ORELLANA  PEREZ
369,Alejandro  Patricio  GOMEZ  VEGA
370,Luis Alberto CANALES VIVANCO
371,Juan  Pablo  BARRA  DUARTE
372,"Manuel  David  CACERES 
MUÑOZ"
373,María OSORIO RODRIGUEZ
374,"René  Claudio  Roberto  CARRASCO 
MALDONADO"
375,Angel Clodomiro ROMAN VERGARA
376,Enrique René ASTUDILLO ALVAREZ
377,Omar ASTUDILLO ROJAS
378,Ramón ASTUDILLO ROJAS
379,Carlos HERNANDEZ FLORES
380,Nelson HERNANDEZ FLORES
381,Oscar HERNANDEZ FLORES
382,Sergio MAUREIRA LILLO
383,José MAUREIRA MUÑOZ
384,Rodolfo MAUREIRA MUÑOZ
385,Segundo MAUREIRA MUÑOZ
386,Sergio MAUREIRA MUÑOZ
387,Miguel BRANT BUSTAMANTE
388,José HERRERA VILLEGAS
389,Manuel Jesús NAVARRO SALINAS
390,Iván Gerardo ORDOÑEZ LAMA
391,"Pedro  León 
VARGAS  BARRIENTOS"
392,Luis  Nelson  CADIZ  MOLINA
393,Alberto LEIVA VARGAS
394,Juan  Humberto  ALBORNOZ  PRADO
395,Hernán  Fernando ALBORNOZ PRADO
396,Ricardo  Eduardo  CARRASCO  BARRIOS
397,Saúl Sebastian CARCAMO ROJAS
398,Orlando  Enrique  PEREIRA  CANCINO
399,Raúl del Carmen LAZO QUINTEROS
400,Pedro Luis RAMIREZ TORRES
401,Carlos CHAVEZ REYES
402,"Cristian 
Víctor CARTAGENA PEREZ"
403,"Francisco  Baltazar  GODOY 
ROMAN"
404,Luis Alberto DIAZ MANRIQUEZ
405,Héctor CASTRO SAEZ
406,Juan Guillermo CUADRA ESPINOZA
407,Gustavo Hernán MARTINEZ VERA
408,Juan Bautista NUÑEZ VARGAS
409,Ignacio del Tránsito SANTANDER ALBORNOZ
410,José Angel CABEZAS BUENO
411,Francisco Javier CALDERON NILO
412,Domingo Antonio GALAZ SALAS
413,José Emilio GONZALEZ ESPINOZA
414,Juan Rosendo GONZALEZ PEREZ
415,Aurelio Enrique HIDALGO MELLA
416,Bernabé del Carmen LOPEZ LOPEZ
417,Carlos Manuel ORTIZ ORTIZ
418,Héctor Santiago PINTO CAROCA
419,Hernán PINTO CAROCA
420,Aliro del Carmen VALDIVIA VALDIVIA
421,Hugo Alfredo VIDAL ARENAS
422,Víctor Manuel ZAMORANO GONZALEZ
423,Ramón  Alfredo  CAPETILLO  MORA
424,Jorge  Orlando  VALENZUELA  VALENZUELA
425,José Gumercindo GONZALEZ SEPULVEDA
426,José Manuel DIAZ INOSTROZA;
427,Francisco  Javier  LIZAMA  IRARRAZAVAL
428,Juan Manuel ORTIZ ACEVEDO
429,Luis  Celerino  ORTIZ  ACEVEDO
430,Jorge  Manuel  PAVEZ  HENRIQUEZ
431,José Domingo ADASME NUÑEZ
432,Pedro Antonio CABEZAS VILLEGAS
433,Patricio Loreto DUQUE ORELLANA
434,Carlos GAETE LOPEZ
435,Luis Alberto GAETE BALMACEDA
436,José Germán FREDES GARCIA
437,Rosalindo Delfin HERRERA MUÑOZ
438,Luis Rodolfo LAZO MALDONADO
439,Samuel  del  Tránsito  LAZO  MALDONADO
440,Carlos Enrique LAZO QUINTEROS
441,Samuel Altamiro LAZO QUINTEROS
442,René  del  Rosario  MAUREIRA  GAJARDO
443,Jorge Hernán MUÑOZ PEÑALOZA
444,Mario Enrique MUÑOZ PEÑALOZA
445,Ramiro Antonio MUÑOZ PEÑALOZA
446,Silvestre René MUÑOZ PEÑALOZA
447,Carlos Alberto NIETO DUARTE
448,Laureano QUIROZ PEZOA
449,Andrés PEREIRA SALSBERG
450,Roberto Esteban SERRANO GALAZ
451,Luis  SILVA CARREÑO
452,Basilio Antonio VALENZUELA ALVAREZ
453,José Ignacio CASTRO MALDONADO
